problems_url,problems_number,problems_title,problems_info_publish,problems_info_solved,problems_info_difficulty,problems_content_text,problems_content_html,problems_content_images_name,problems_content_images_url,problems_content_files_name,problems_content_files_url
https://projecteuler.net/problem=200,200,"Find the 200th prime-proof sqube containing the contiguous sub-string ""200""","Saturday, 28th June 2008, 10:00 am",1827,65,"We shall define a sqube to be a number of the form, p2q3, where p and q are distinct primes.
For example, 200 = 5223 or 120072949 = 232613.
The first five squbes are 72, 108, 200, 392, and 500.
Interestingly, 200 is also the first number for which you cannot change any single digit to make a prime; we shall call such numbers, prime-proof. The next prime-proof sqube which contains the contiguous sub-string ""200"" is 1992008.
Find the 200th prime-proof sqube containing the contiguous sub-string ""200"".","<p>We shall define a sqube to be a number of the form, <var>p</var><sup>2</sup><var>q</var><sup>3</sup>, where <var>p</var> and <var>q</var> are distinct primes.<br>For example, 200 = 5<sup>2</sup>2<sup>3</sup> or 120072949 = 23<sup>2</sup>61<sup>3</sup>.</p><p>The first five squbes are 72, 108, 200, 392, and 500.</p><p>Interestingly, 200 is also the first number for which you cannot change any single digit to make a prime; we shall call such numbers, prime-proof. The next prime-proof sqube which contains the contiguous sub-string ""200"" is 1992008.</p><p>Find the 200th prime-proof sqube containing the contiguous sub-string ""200"".</p>",,,,
https://projecteuler.net/problem=201,201,Subsets with a unique sum,"Saturday, 5th July 2008, 02:00 pm",1808,65,"For any set A of numbers, let sum(A) be the sum of the elements of A.
Consider the set B = {1,3,6,8,10,11}.
There are 20 subsets of B containing three elements, and their sums are:
sum({1,3,6}) = 10,
sum({1,3,8}) = 12,
sum({1,3,10}) = 14,
sum({1,3,11}) = 15,
sum({1,6,8}) = 15,
sum({1,6,10}) = 17,
sum({1,6,11}) = 18,
sum({1,8,10}) = 19,
sum({1,8,11}) = 20,
sum({1,10,11}) = 22,
sum({3,6,8}) = 17,
sum({3,6,10}) = 19,
sum({3,6,11}) = 20,
sum({3,8,10}) = 21,
sum({3,8,11}) = 22,
sum({3,10,11}) = 24,
sum({6,8,10}) = 24,
sum({6,8,11}) = 25,
sum({6,10,11}) = 27,
sum({8,10,11}) = 29.
Some of these sums occur more than once, others are unique.
For a set A, let U(A,k) be the set of unique sums of k-element subsets of A, in our example we find U(B,3) = {10,12,14,18,21,25,27,29} and sum(U(B,3)) = 156.
Now consider the 100-element set S = {12, 22, ... , 1002}.
S has 100891344545564193334812497256 50-element subsets.
Determine the sum of all integers which are the sum of exactly one of the 50-element subsets of S, i.e. find sum(U(S,50)).","<p>For any set A of numbers, let sum(A) be the sum of the elements of A.<br>Consider the set B = {1,3,6,8,10,11}.<br> There are 20 subsets of B containing three elements, and their sums are:</p><p style=""margin-left:100px;"">sum({1,3,6}) = 10,<br>sum({1,3,8}) = 12,<br>sum({1,3,10}) = 14,<br>sum({1,3,11}) = 15,<br>sum({1,6,8}) = 15,<br>sum({1,6,10}) = 17,<br>sum({1,6,11}) = 18,<br>sum({1,8,10}) = 19,<br>sum({1,8,11}) = 20,<br>sum({1,10,11}) = 22,<br>sum({3,6,8}) = 17,<br>sum({3,6,10}) = 19,<br>sum({3,6,11}) = 20,<br>sum({3,8,10}) = 21,<br>sum({3,8,11}) = 22,<br>sum({3,10,11}) = 24,<br>sum({6,8,10}) = 24,<br>sum({6,8,11}) = 25,<br>sum({6,10,11}) = 27,<br>sum({8,10,11}) = 29.</p><p>Some of these sums occur more than once, others are unique.<br>For a set A, let U(A,k) be the set of unique sums of k-element subsets of A, in our example we find U(B,3) = {10,12,14,18,21,25,27,29} and sum(U(B,3)) = 156.</p><p>Now consider the 100-element set S = {1<sup>2</sup>, 2<sup>2</sup>, ... , 100<sup>2</sup>}.<br>S has 100891344545564193334812497256 50-element subsets.</p><p>Determine the sum of all integers which are the sum of exactly one of the 50-element subsets of S, i.e. find sum(U(S,50)).</p>",,,,
https://projecteuler.net/problem=202,202,Laserbeam,"Saturday, 5th July 2008, 02:00 pm",1963,60,"Three mirrors are arranged in the shape of an equilateral triangle, with their reflective surfaces pointing inwards. There is an infinitesimal gap at each vertex of the triangle through which a laser beam may pass.
Label the vertices A, B and C. There are 2 ways in which a laser beam may enter vertex C, bounce off 11 surfaces, then exit through the same vertex: one way is shown below; the other is the reverse of that.
There are 80840 ways in which a laser beam may enter vertex C, bounce off 1000001 surfaces, then exit through the same vertex.
In how many ways can a laser beam enter at vertex C, bounce off 12017639147 surfaces, then exit through the same vertex?","<p>Three mirrors are arranged in the shape of an equilateral triangle, with their reflective surfaces pointing inwards. There is an infinitesimal gap at each vertex of the triangle through which a laser beam may pass.</p><p>Label the vertices A, B and C. There are 2 ways in which a laser beam may enter vertex C, bounce off 11 surfaces, then exit through the same vertex: one way is shown below; the other is the reverse of that.</p><div style=""text-align:center;"">  <img src=""project/images/p201_laserbeam.gif"" alt=""""></div><p>There are 80840 ways in which a laser beam may enter vertex C, bounce off 1000001 surfaces, then exit through the same vertex.</p><p>In how many ways can a laser beam enter at vertex C, bounce off 12017639147 surfaces, then exit through the same vertex?</p>",p201_laserbeam.gif,https://projecteuler.net/project/images/p201_laserbeam.gif,,
https://projecteuler.net/problem=203,203,Squarefree Binomial Coefficients,"Saturday, 6th September 2008, 02:00 pm",7502,25,"The binomial coefficients nCk can be arranged in triangular form, Pascal's triangle, like this:
1
11
121
1331
14641
15101051
1615201561
172135352171
.........
It can be seen that the first eight rows of Pascal's triangle contain twelve distinct numbers: 1, 2, 3, 4, 5, 6, 7, 10, 15, 20, 21 and 35.
A positive integer n is called squarefree if no square of a prime divides n. Of the twelve distinct numbers in the first eight rows of Pascal's triangle, all except 4 and 20 are squarefree. The sum of the distinct squarefree numbers in the first eight rows is 105.
Find the sum of the distinct squarefree numbers in the first 51 rows of Pascal's triangle.","<p>The binomial coefficients <sup>n</sup>C<sub>k</sub> can be arranged in triangular form, Pascal's triangle, like this:</p><div style=""text-align:center;""><table align=""center""><tbody><tr><td colspan=""7""></td><td>1</td><td colspan=""7""></td></tr><tr><td colspan=""6""></td><td>1</td><td></td><td>1</td><td colspan=""6""></td></tr><tr><td colspan=""5""></td><td>1</td><td></td><td>2</td><td></td><td>1</td><td colspan=""5""></td></tr><tr><td colspan=""4""></td><td>1</td><td></td><td>3</td><td></td><td>3</td><td></td><td>1</td><td colspan=""4""></td></tr><tr><td colspan=""3""></td><td>1</td><td></td><td>4</td><td></td><td>6</td><td></td><td>4</td><td></td><td>1</td><td colspan=""3""></td></tr><tr><td colspan=""2""></td><td>1</td><td></td><td>5</td><td></td><td>10</td><td></td><td>10</td><td></td><td>5</td><td></td><td>1</td><td colspan=""2""></td></tr><tr><td colspan=""1""></td><td>1</td><td></td><td>6</td><td></td><td>15</td><td></td><td>20</td><td></td><td>15</td><td></td><td>6</td><td></td><td>1</td><td colspan=""1""></td></tr><tr><td>1</td><td></td><td>7</td><td></td><td>21</td><td></td><td>35</td><td></td><td>35</td><td></td><td>21</td><td></td><td>7</td><td></td><td>1</td></tr></tbody></table>.........</div><p>It can be seen that the first eight rows of Pascal's triangle contain twelve distinct numbers: 1,&nbsp;2,&nbsp;3,&nbsp;4,&nbsp;5,&nbsp;6,&nbsp;7,&nbsp;10,&nbsp;15,&nbsp;20,&nbsp;21&nbsp;and&nbsp;35.</p><p>A positive integer <var>n</var> is called squarefree if no square of a prime divides <var>n</var>.Of the twelve distinct numbers in the first eight rows of Pascal's triangle, all except 4 and 20 are squarefree.The sum of the distinct squarefree numbers in the first eight rows is 105.</p><p>Find the sum of the distinct squarefree numbers in the first 51 rows of Pascal's triangle.</p>",,,,
https://projecteuler.net/problem=204,204,Generalised Hamming Numbers,"Saturday, 6th September 2008, 02:00 pm",6039,30,"A Hamming number is a positive number which has no prime factor larger than 5.
So the first few Hamming numbers are 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 15.
There are 1105 Hamming numbers not exceeding 108.
We will call a positive number a generalised Hamming number of type n, if it has no prime factor larger than n.
Hence the Hamming numbers are the generalised Hamming numbers of type 5.
How many generalised Hamming numbers of type 100 are there which don't exceed 109?","<p>A Hamming number is a positive number which has no prime factor larger than 5.<br>So the first few Hamming numbers are 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 15.<br>There are 1105 Hamming numbers not exceeding 10<sup>8</sup>.</p><p>We will call a positive number a generalised Hamming number of type <var>n</var>, if it has no prime factor larger than <var>n</var>.<br>Hence the Hamming numbers are the generalised Hamming numbers of type 5.</p><p>How many generalised Hamming numbers of type 100 are there which don't exceed 10<sup>9</sup>?</p>",,,,
https://projecteuler.net/problem=205,205,Dice Game,"Saturday, 6th September 2008, 02:00 pm",12152,15,"Peter has nine four-sided (pyramidal) dice, each with faces numbered 1, 2, 3, 4.
Colin has six six-sided (cubic) dice, each with faces numbered 1, 2, 3, 4, 5, 6.
Peter and Colin roll their dice and compare totals: the highest total wins. The result is a draw if the totals are equal.
What is the probability that Pyramidal Pete beats Cubic Colin? Give your answer rounded to seven decimal places in the form 0.abcdefg","<p>Peter has nine four-sided (pyramidal) dice, each with faces numbered 1, 2, 3, 4.<br>Colin has six six-sided (cubic) dice, each with faces numbered 1, 2, 3, 4, 5, 6.</p><p>Peter and Colin roll their dice and compare totals: the highest total wins. The result is a draw if the totals are equal.</p><p>What is the probability that Pyramidal Pete beats Cubic Colin? Give your answer rounded to seven decimal places in the form 0.abcdefg</p>",,,,
https://projecteuler.net/problem=206,206,Concealed Square,"Saturday, 6th September 2008, 02:00 pm",19409,5,"Find the unique positive integer whose square has the form 1_2_3_4_5_6_7_8_9_0,
where each “_” is a single digit.","<p>Find the unique positive integer whose square has the form 1_2_3_4_5_6_7_8_9_0,<br> where each “_” is a single digit.</p>",,,,
https://projecteuler.net/problem=207,207,Integer partition equations,"Saturday, 6th September 2008, 02:00 pm",3897,40,"For some positive integers k, there exists an integer partition of the form 4t = 2t + k,
where 4t, 2t, and k are all positive integers and t is a real number.
The first two such partitions are 41 = 21 + 2 and 41.5849625... = 21.5849625... + 6.
Partitions where t is also an integer are called perfect.
For any m ≥ 1 let P(m) be the proportion of such partitions that are perfect with k ≤ m.
Thus P(6) = 1/2.
In the following table are listed some values of P(m)
P(5) = 1/1
P(10) = 1/2
P(15) = 2/3
P(20) = 1/2
P(25) = 1/2
P(30) = 2/5
...
P(180) = 1/4
P(185) = 3/13
Find the smallest m for which P(m) < 1/12345","<p>For some positive integers <var>k</var>, there exists an integer partition of the form&nbsp;&nbsp; 4<sup>t</sup> = 2<sup>t</sup> + <var>k</var>,<br>where 4<sup>t</sup>, 2<sup>t</sup>, and <var>k</var> are all positive integers and <var>t</var> is a real number.</p><p>The first two such partitions are 4<sup>1</sup> = 2<sup>1</sup> + 2 and 4<sup>1.5849625...</sup> = 2<sup>1.5849625...</sup> + 6.</p><p>Partitions where <var>t</var> is also an integer are called <i>perfect</i>.<br> For any <var>m</var> ≥ 1 let P(<var>m</var>) be the proportion of such partitions that are perfect with <var>k</var> ≤ <var>m</var>.<br>Thus P(6) = 1/2.</p><p>In the following table are listed some values of P(<var>m</var>)</p><p>&nbsp;&nbsp;&nbsp;P(5) = 1/1<br>&nbsp;&nbsp;&nbsp;P(10) = 1/2<br>&nbsp;&nbsp;&nbsp;P(15) = 2/3<br>&nbsp;&nbsp;&nbsp;P(20) = 1/2<br>&nbsp;&nbsp;&nbsp;P(25) = 1/2<br>&nbsp;&nbsp;&nbsp;P(30) = 2/5<br>&nbsp;&nbsp;&nbsp;...<br>&nbsp;&nbsp;&nbsp;P(180) = 1/4<br>&nbsp;&nbsp;&nbsp;P(185) = 3/13</p><p>Find the smallest <var>m</var> for which P(<var>m</var>) &lt; 1/12345</p>",,,,
https://projecteuler.net/problem=208,208,Robot Walks,"Friday, 12th September 2008, 02:00 pm",1393,70,"A robot moves in a series of one-fifth circular arcs (72°), with a free choice of a clockwise or an anticlockwise arc for each step, but no turning on the spot.
One of 70932 possible closed paths of 25 arcs starting northward is
Given that the robot starts facing North, how many journeys of 70 arcs in length can it take that return it, after the final arc, to its starting position?
(Any arc may be traversed multiple times.)","<p>A robot moves in a series of one-fifth circular arcs (72°), with a free choice of a clockwise or an anticlockwise arc for each step, but no turning on the spot.</p><p>One of 70932 possible closed paths of 25 arcs starting northward is</p><div style=""text-align:center;""><img src=""project/images/p208_robotwalk.gif"" alt=""""></div><p>Given that the robot starts facing North, how many journeys of 70 arcs in length can it take that return it, after the final arc, to its starting position?<br>(Any arc may be traversed multiple times.) </p>",p208_robotwalk.gif,https://projecteuler.net/project/images/p208_robotwalk.gif,,
https://projecteuler.net/problem=209,209,Circular Logic,"Friday, 19th September 2008, 06:00 pm",2018,60,"A k-input binary truth table is a map from k input bits (binary digits, 0 [false] or 1 [true]) to 1 output bit. For example, the 2-input binary truth tables for the logical AND and XOR functions are:
x y x AND y
000
010
100
111
x y x XOR y
000
011
101
110
How many 6-input binary truth tables, τ, satisfy the formula
τ(a, b, c, d, e, f) AND τ(b, c, d, e, f, a XOR (b AND c)) = 0
for all 6-bit inputs (a, b, c, d, e, f)?","<p>A <var>k</var>-input <i>binary truth table</i> is a map from <var>k</var> input bits(binary digits, 0 [false] or 1 [true]) to 1 output bit. For example, the 2-input binary truth tables for the logical AND and XOR functions are:</p><div style=""text-align:center;margin-left:150px;margin-right:150px;""><table align=""left"" cellspacing=""0"" cellpadding=""2"" border=""1""><tbody><tr style=""background-color:#c1daf9;""><td width=""30"" align=""center""><var>x</var></td><td width=""30"" align=""center""><var>y</var></td><td><var>x</var> AND <var>y</var></td></tr><tr><td align=""center"">0</td><td align=""center"">0</td><td align=""center"">0</td></tr><tr><td align=""center"">0</td><td align=""center"">1</td><td align=""center"">0</td></tr><tr><td align=""center"">1</td><td align=""center"">0</td><td align=""center"">0</td></tr><tr><td align=""center"">1</td><td align=""center"">1</td><td align=""center"">1</td></tr></tbody></table><table align=""right"" cellspacing=""0"" cellpadding=""2"" border=""1""><tbody><tr style=""background-color:#c1daf9;""><td width=""30"" align=""center""><var>x</var></td><td width=""30"" align=""center""><var>y</var></td><td><var>x</var> XOR <var>y</var></td></tr><tr><td align=""center"">0</td><td align=""center"">0</td><td align=""center"">0</td></tr><tr><td align=""center"">0</td><td align=""center"">1</td><td align=""center"">1</td></tr><tr><td align=""center"">1</td><td align=""center"">0</td><td align=""center"">1</td></tr><tr><td align=""center"">1</td><td align=""center"">1</td><td align=""center"">0</td></tr></tbody></table></div><br clear=""all""><p>How many 6-input binary truth tables, τ, satisfy the formula</p><div style=""text-align:center;"">τ(<var>a</var>, <var>b</var>, <var>c</var>, <var>d</var>, <var>e</var>, <var>f</var>) AND τ(<var>b</var>, <var>c</var>, <var>d</var>, <var>e</var>, <var>f</var>, <var>a</var> XOR (<var>b</var> AND <var>c</var>)) = 0</div><br><p>for all 6-bit inputs (<var>a</var>, <var>b</var>, <var>c</var>, <var>d</var>, <var>e</var>, <var>f</var>)?</p>",,,,
